group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium oleraceum,Cirsium texanum,1.25,0.9215328660696822
orientation,Cirsium palustre,Cirsium scariosum,0.75,0.8989899189243615
orientation,Cirsium palustre,Cirsium scariosum,1.0,0.9168225823540062
orientation,Cirsium palustre,Cirsium scariosum,1.25,0.927672600481703
orientation,Cirsium palustre,Cirsium serrulatum,0.75,0.8479861838662508
orientation,Cirsium palustre,Cirsium serrulatum,1.0,0.8757839490314605
orientation,Cirsium palustre,Cirsium serrulatum,1.25,0.8908436284847164
orientation,Cirsium pannonicum,Cirsium scariosum,0.75,0.7257383551242149
orientation,Cirsium pannonicum,Cirsium scariosum,1.0,0.7427812148324712
orientation,Cirsium pannonicum,Cirsium scariosum,1.25,0.7606226605145796
orientation,Cirsium repandum,Cirsium spinosissimum,0.75,0.7878852787540638
orientation,Cirsium repandum,Cirsium spinosissimum,1.0,0.8235332720524327
orientation,Cirsium repandum,Cirsium spinosissimum,1.25,0.8458274200742827
orientation,Cirsium scariosum,Cirsium serratuloides,0.75,0.8502010018246406
orientation,Cirsium scariosum,Cirsium serratuloides,1.0,0.8626033447392452
orientation,Cirsium scariosum,Cirsium serratuloides,1.25,0.8732206584291926
orientation,Cirsium scariosum,Cirsium undulatum,0.75,0.8495276609057124
orientation,Cirsium scariosum,Cirsium undulatum,1.0,0.8710077204197968
orientation,Cirsium scariosum,Cirsium undulatum,1.25,0.8909782006533541
orientation,Cirsium serratuloides,Cirsium subcoriaceum,0.75,0.8172235544853279
orientation,Cirsium serratuloides,Cirsium subcoriaceum,1.0,0.829955310032473
orientation,Cirsium serratuloides,Cirsium subcoriaceum,1.25,0.8444119514896133
orientation,Cirsium serrulatum,Cirsium vulgare,0.75,0.8349116743241958
orientation,Cirsium serrulatum,Cirsium vulgare,1.0,0.8635547321787784
orientation,Cirsium serrulatum,Cirsium vulgare,1.25,0.8748003389285779
orientation,Cirsium subcoriaceum,Cirsium texanum,0.75,0.8926398463278202
orientation,Cirsium subcoriaceum,Cirsium texanum,1.0,0.9161076211289111
orientation,Cirsium subcoriaceum,Cirsium texanum,1.25,0.9329080198312221
orientation,Cirsium tuberosum,Cirsium ukranicum,0.75,0.8910364738491006
orientation,Cirsium tuberosum,Cirsium ukranicum,1.0,0.9107245994711566
orientation,Cirsium tuberosum,Cirsium ukranicum,1.25,0.9262463495182036
orientation,Cirsium tuberosum,Cirsium undulatum,0.75,0.8736591679683317
orientation,Cirsium tuberosum,Cirsium undulatum,1.0,0.8921367150528277
orientation,Cirsium tuberosum,Cirsium undulatum,1.25,0.9014347253213131
colour,Cirsium acaulon,Cirsium ochrocentrum,0.75,0.2134104593894735
colour,Cirsium acaulon,Cirsium ochrocentrum,1.0,0.2485146075349197
colour,Cirsium acaulon,Cirsium ochrocentrum,1.25,0.27228270277088407
colour,Cirsium altissimum,Cirsium canum,0.75,0.5378672328013332
colour,Cirsium altissimum,Cirsium canum,1.0,0.6054376397161731
colour,Cirsium altissimum,Cirsium canum,1.25,0.6572634782805622
colour,Cirsium altissimum,Cirsium japonicum,0.75,0.5172365929254116
colour,Cirsium altissimum,Cirsium japonicum,1.0,0.590652401923402
colour,Cirsium altissimum,Cirsium japonicum,1.25,0.6356936845865494
colour,Cirsium altissimum,Cirsium pumilum,0.75,0.5900109740127057
colour,Cirsium altissimum,Cirsium pumilum,1.0,0.6674461367551736
colour,Cirsium altissimum,Cirsium pumilum,1.25,0.7134002260162711
colour,Cirsium altissimum,Cirsium wheeleri,0.75,0.5546452520446046
colour,Cirsium altissimum,Cirsium wheeleri,1.0,0.6412620983746837
colour,Cirsium altissimum,Cirsium wheeleri,1.25,0.6984477256323387
colour,Cirsium andersonii,Cirsium arizonicum,0.75,0.5609048349257735
colour,Cirsium andersonii,Cirsium arizonicum,1.0,0.6258096932107275
colour,Cirsium andersonii,Cirsium arizonicum,1.25,0.6787114201094688
colour,Cirsium andersonii,Cirsium arvense,0.75,0.3553960750800026
colour,Cirsium andersonii,Cirsium arvense,1.0,0.4151132379323623
colour,Cirsium andersonii,Cirsium arvense,1.25,0.4732590644674881
colour,Cirsium andersonii,Cirsium brevistylum,0.75,0.3525230035460596
colour,Cirsium andersonii,Cirsium brevistylum,1.0,0.42420072738516496
colour,Cirsium andersonii,Cirsium brevistylum,1.25,0.4841428269995049
colour,Cirsium andersonii,Cirsium canescens,0.75,0.15995380957609978
colour,Cirsium andersonii,Cirsium canescens,1.0,0.1933472162689751
colour,Cirsium andersonii,Cirsium canescens,1.25,0.2282398773888886
colour,Cirsium andersonii,Cirsium subcoriaceum,0.75,0.3812059358291635
colour,Cirsium andersonii,Cirsium subcoriaceum,1.0,0.4329491083950288
colour,Cirsium andersonii,Cirsium subcoriaceum,1.25,0.48086090640763385
colour,Cirsium arizonicum,Cirsium drummondii,0.75,0.3735303341065835
colour,Cirsium arizonicum,Cirsium drummondii,1.0,0.4623453301030219
