obs_id,taxon_name,n_usable_heads,min_dimension_median,sharpness_median,involucre_projection_roughness,involucre_spread_fraction,spine_relative_length_max_proxy,coordinate_precision_tier,env_chelsa_bio01_native,env_chelsa_bio04_native,env_chelsa_bio12_native,env_chelsa_bio15_native,log_min_dimension,log1p_sharpness,resolution_stratum
28980248,Cirsium clavatum,1,167.0,2934.479493366487,0.1079052763022311,0.2886597938144329,0.3411419920298973,moderate_1_to_10km,2764.0,8541.0,749.0,91.0,5.117993812416755,7.984626089741972,150_199
29093521,Cirsium tukuhnikivatzicum,1,304.0,3527.2513433651347,0.0611509419984252,0.2176470588235294,0.1837060733686556,high_le_1km,2786.0,9628.0,424.0,256.0,5.717027701406222,8.168557657039495,300_plus
29098123,Cirsium esculentum,1,206.0,3167.820599508672,0.1128751336759088,0.3205128205128205,0.2941697720288418,high_le_1km,2704.0,12770.0,160.0,964.0,5.327876168789581,8.061114747015141,200_299
29428699,Cirsium andersonii,1,221.0,3794.037852214328,0.0612905418985975,0.1604938271604938,0.1712311657971876,high_le_1km,2786.0,6856.0,1548.0,724.0,5.3981627015177525,8.241449664013013,200_299
29581515,Cirsium roseolum,1,364.0,6088.662585215135,0.0836180349072769,0.282051282051282,0.1399279369329163,high_le_1km,2817.0,9607.0,536.0,186.0,5.8971538676367405,8.714347954442465,300_plus
29761788,Cirsium rhaphilepis,1,277.0,3814.230149950277,0.1439169088787824,0.3666666666666666,0.3609597299215407,high_le_1km,2855.0,2118.0,615.0,753.0,5.6240175061873385,8.246756269539882,200_299
30262206,Cirsium roseolum,1,370.0,6679.007576057912,0.1331091801958556,0.1910112359550561,0.3665399653541449,high_le_1km,2817.0,9607.0,536.0,186.0,5.91350300563827,8.806874400670454,300_plus
30350553,Cirsium occidentale,1,223.0,993.801823763298,0.1212224148545198,0.2765957446808511,0.3412512237514288,unknown,2860.0,5847.0,1317.0,931.0,5.407171771460119,6.902543545224009,200_299
30428959,Cirsium tymphaeum,1,167.0,5807.79553159516,0.0960925128535746,0.3506493506493506,0.1805770724466966,high_le_1km,2818.0,7096.0,1046.0,443.0,5.117993812416755,8.667128518818247,150_199
30495480,Cirsium turkestanicum,1,305.0,2769.368258065239,0.1424655305181114,0.2711864406779661,0.7851415714368206,high_le_1km,2771.0,8776.0,1298.0,346.0,5.720311776607412,7.926735535494867,300_plus
30718922,Cirsium undulatum,1,152.0,1151.3768553830264,0.0922198461285701,0.3625,0.2229544236419116,unknown,2794.0,11127.0,395.0,660.0,5.0238805208462765,7.049581919168901,150_199
30756080,Cirsium coahuilense,1,162.0,1666.0939971442506,0.1425638426081901,0.4166666666666667,0.316340656011564,unknown,2962.0,5347.0,269.0,604.0,5.087596335232384,7.418837268170255,150_199
30947964,Cirsium flodmanii,1,199.0,2391.3114663198285,0.0898981362381113,0.3229166666666667,0.2383093067100106,high_le_1km,2795.0,11399.0,766.0,522.0,5.293304824724492,7.780015318265887,150_199
31013956,Cirsium scariosum,1,236.0,3844.2322230663767,0.0662049351760437,0.3157894736842105,0.133480056274559,high_le_1km,2812.0,6843.0,639.0,621.0,5.4638318050256105,8.254589276232066,200_299
31059589,Cirsium macrocephalum,2,324.5,4192.772870311867,0.0671897958805415,0.2276080084299262,0.16502398893972414,high_le_1km,2694.0,8401.0,1060.0,331.0,5.782285536144145,8.34135605413269,300_plus
31180293,Cirsium inamoenum,1,297.0,2938.7786230012625,0.1401592547973749,0.42,0.3361451955279184,high_le_1km,2752.0,7159.0,1660.0,704.0,5.6937321388027,7.986089559198778,200_299
31391959,Cirsium aomorense,1,170.0,2598.842413975649,0.0940405663321513,0.3372093023255814,0.2977338634420198,high_le_1km,2838.0,8702.0,1627.0,214.0,5.135798437050262,7.863206112163347,150_199
31392012,Cirsium aomorense,1,195.0,5278.822612903546,0.0829591257965935,0.3703703703703703,0.1659223181984307,high_le_1km,2838.0,8702.0,1627.0,214.0,5.272999558563747,8.571647780094953,150_199
31437109,Cirsium pitcheri,1,255.0,7937.956140117298,0.073389016000021,0.1752577319587628,0.250333397831185,high_le_1km,2788.0,9998.0,836.0,206.0,5.541263545158426,8.97953707709936,200_299
31580662,Cirsium rhaphilepis,1,181.0,2533.196111987235,0.0900786759684591,0.3409090909090909,0.1757116696907592,high_le_1km,2882.0,2120.0,593.0,800.0,5.198497031265826,7.837631750146614,150_199
32008027,Cirsium repandum,1,183.0,1242.054292464646,0.1295825731765247,0.3269230769230769,0.3741518944587398,high_le_1km,2909.0,7007.0,1076.0,245.0,5.209486152841421,7.125326769128549,150_199
32054492,Cirsium clavatum,1,170.0,2455.2784427109023,0.0577296214125259,0.2,0.1970502429110563,high_le_1km,2736.0,8136.0,695.0,270.0,5.135798437050262,7.806402655280157,150_199
32401018,Cirsium macrocephalum,1,317.0,5815.835285106722,0.1104265281345852,0.3263157894736842,0.361725813403579,unknown,2729.0,7966.0,1143.0,651.0,5.75890177387728,8.668511627385858,300_plus
32891702,Cirsium texanum,1,204.0,1524.582598669176,0.0779264953625053,0.2989690721649484,0.1789504389287318,high_le_1km,2874.0,5209.0,581.0,991.0,5.318119993844216,7.330131648000115,200_299
33468869,Cirsium hygropodum,1,167.0,1841.6105906509504,0.1095347080976946,0.3113207547169811,0.2373536813826174,high_le_1km,2857.0,3445.0,833.0,924.0,5.117993812416755,7.5189386443251705,150_199
33581547,Cirsium falconeri,1,319.0,2836.4624848076646,0.1324141861058019,0.2886597938144329,0.5012155337297808,high_le_1km,2787.0,6058.0,1696.0,748.0,5.765191102784844,7.950665440489099,300_plus
33609862,Cirsium kosmelii,1,179.0,6082.699723429975,0.0541480547152519,0.2179487179487179,0.106305426160682,high_le_1km,2766.0,7775.0,810.0,415.0,5.187385805840755,8.713368297037901,150_199
33692191,Cirsium falconeri,1,256.0,3005.1112165032205,0.1134407998268344,0.3277310924369748,0.288315769368777,unknown,2804.0,5823.0,1696.0,733.0,5.545177444479562,8.008402567799902,200_299
34065133,Cirsium semenowii,1,228.0,5672.0875598116045,0.0900804382980857,0.2840909090909091,0.2278952779449566,high_le_1km,2678.0,9003.0,1207.0,538.0,5.429345628954441,8.643488791688615,200_299
34086025,Cirsium simplex,1,265.0,4229.805066247056,0.1003408429161402,0.1976744186046511,0.3501875913798554,unknown,2746.0,7319.0,3210.0,215.0,5.579729825986222,8.35014757692105,200_299
34275699,Cirsium subuliforme,2,214.5,2541.8355225349205,0.1152921065425969,0.35678239272880996,0.2678489754312316,unknown,2871.0,1711.0,651.0,770.0,5.368309738368072,7.84103508481481,200_299
34306350,Cirsium engelmannii,1,227.0,6020.14623257765,0.1513816667271803,0.2125,0.5812968067331268,high_le_1km,2894.0,8126.0,1343.0,163.0,5.424950017481403,8.703032924260976,200_299
34568043,Cirsium edule,1,175.0,2039.3883304793665,0.0714228403225501,0.2555555555555555,0.1963727340732531,unknown,2732.0,6733.0,3112.0,461.0,5.1647859739235145,7.620895426800583,150_199
35011266,Cirsium pinetorum,1,238.0,3084.109444502066,0.1306969261921437,0.3134328358208955,0.4291258788186514,unknown,2855.0,2789.0,549.0,707.0,5.472270673671475,8.034342412048003,200_299
35472115,Cirsium murdockii,1,209.0,1084.715169777725,0.1030830076036937,0.3555555555555555,0.166993834086031,moderate_1_to_10km,2708.0,9789.0,867.0,336.0,5.342334251964811,6.989994191487734,200_299
35903179,Cirsium wheeleri,1,205.0,3902.05641852819,0.0723069147705026,0.1789473684210526,0.18763744708094,unknown,2825.0,6951.0,598.0,619.0,5.3230099791384085,8.269515222246058,200_299
36028855,Cirsium purpuratum,1,310.0,2023.192969484224,0.1800562446412982,0.3434343434343434,0.7120029201965005,high_le_1km,2829.0,7947.0,3208.0,435.0,5.736572297479192,7.6129263665169855,300_plus
36132633,Cirsium ferum,1,334.0,2114.0099605323912,0.1033011505120238,0.2905982905982906,0.3111906255903258,high_le_1km,2876.0,3880.0,3197.0,674.0,5.811140992976701,7.656814800940869,300_plus
36221447,Cirsium scariosum,1,370.0,4594.652538312073,0.0997922738309358,0.1958762886597938,0.2252468726475507,high_le_1km,2754.0,9588.0,1057.0,147.0,5.91350300563827,8.432866035221302,300_plus
36375534,Cirsium simplex,1,312.0,4366.443030040776,0.1093430251939278,0.391304347826087,0.2229697390525187,high_le_1km,2710.0,7661.0,1877.0,225.0,5.7430031878094825,8.381932997856914,300_plus
37058510,Cirsium appendiculatum,1,183.0,5065.526801638152,0.1110384405105499,0.325,0.2797387596755438,moderate_1_to_10km,2731.0,7149.0,1071.0,163.0,5.209486152841421,8.530410812845396,150_199
37214338,Cirsium tracyi,1,324.0,1537.7572609021029,0.0694442999288272,0.2895611702127659,0.1249512774507534,unknown,2814.0,8063.0,391.0,186.0,5.780743515792329,7.33873039618914,300_plus
38476699,Cirsium repandum,1,344.0,6016.584111815448,0.0811763252720569,0.263638147566719,0.1929605134847085,high_le_1km,2892.0,7269.0,1290.0,204.0,5.840641657373398,8.702441147426667,300_plus
38628642,Cirsium pendulum,1,351.0,6348.478695244722,0.1783565560630179,0.2475247524752475,0.7815989286440587,high_le_1km,2828.0,10435.0,594.0,1052.0,5.860786223465865,8.756127993279687,300_plus
38806149,Cirsium pacificum,1,292.0,1084.344077116824,0.0626369453694564,0.2808988764044944,0.1241440680971255,high_le_1km,2981.0,2734.0,942.0,1142.0,5.676753802268282,6.989652337468739,200_299
38818633,Cirsium jaliscoense,1,296.0,2975.631217603919,0.0694110827162672,0.2613636363636363,0.1972841064393181,moderate_1_to_10km,2920.0,1589.0,1429.0,1091.0,5.69035945432406,7.9985474761518764,200_299
39118708,Cirsium arizonicum,1,172.0,3929.386685945314,0.0787998830687181,0.2921348314606741,0.223117484161094,high_le_1km,2881.0,6787.0,465.0,713.0,5.147494476813453,8.276493093393306,150_199
39270296,Cirsium grahamii,1,273.0,1578.7164171836268,0.1287767793300612,0.3229166666666667,0.3505656372508269,high_le_1km,2825.0,7039.0,655.0,459.0,5.60947179518496,7.365000627116875,200_299
39830278,Cirsium ehrenbergii,2,253.5,2075.3274992729594,0.1434127762679322,0.361318118304611,0.37582198166577063,high_le_1km,2800.0,1808.0,1199.0,1011.0,5.535363823031238,7.638355986792215,200_299
39983402,Cirsium horridulum,1,162.0,8136.248540669352,0.0979306667383154,0.3522727272727273,0.1851177054053762,high_le_1km,2944.0,4669.0,1324.0,418.0,5.087596335232384,9.004207384739136,150_199
40084712,Cirsium occidentale,1,286.0,2444.061360609748,0.0819688737676823,0.3048780487804878,0.2015057824717437,high_le_1km,2872.0,1347.0,443.0,1023.0,5.655991810819852,7.801825497957969,200_299
40132178,Cirsium ehrenbergii,1,240.0,2521.7995721984075,0.0920383175036813,0.3333333333333333,0.2392617332581186,unknown,2842.0,2168.0,655.0,762.0,5.480638923341991,7.833124505215361,200_299
40404680,Cirsium texanum,1,200.0,685.7942165441666,0.0979921280449631,0.2233009708737864,0.3421124633145218,high_le_1km,2964.0,4295.0,677.0,667.0,5.298317366548036,6.532034708114491,200_299
41214085,Cirsium esculentum,1,188.0,3967.824219088776,0.065593747482223,0.3191489361702128,0.1609532924229196,high_le_1km,2730.0,9481.0,1076.0,692.0,5.236441962829949,8.286225163338905,150_199
